date,convenience_store,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor,item,description,pack,liter_size,state_btl_cost,btl_price,bottle_qty,total
2014-01-07,,2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,"53 GREEN ST
WINTERSET 50273
(41.336418044000027, -94.014310515999966)",61,Madison,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2015-02-03,,2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,"53 GREEN ST
WINTERSET 50273
(41.336418044000027, -94.014310515999966)",61,Madison,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2015-01-13,,2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,"53 GREEN ST
WINTERSET 50273
(41.336418044000027, -94.014310515999966)",61,Madison,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-04-29,,2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,"53 GREEN ST
WINTERSET 50273
(41.336418044000027, -94.014310515999966)",61,Madison,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-02-25,,2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,"53 GREEN ST
WINTERSET 50273
(41.336418044000027, -94.014310515999966)",61,Madison,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-01-28,,2228,Rodgers Spirits and More,53 GREEN ST,WINTERSET,50273,"53 GREEN ST
WINTERSET 50273
(41.336418044000027, -94.014310515999966)",61,Madison,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-11-22,,2233,Forbes Liquor Locker / remi,2508 ENTERPRISE AVE,SPIRIT LAKE,51360,"2508 ENTERPRISE AVE
SPIRIT LAKE 51360
(43.41706203800004, -95.126825457999985)",30,Dickinson,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-06-24,,2233,Forbes Liquor Locker / remi,2508 ENTERPRISE AVE,SPIRIT LAKE,51360,"2508 ENTERPRISE AVE
SPIRIT LAKE 51360
(43.41706203800004, -95.126825457999985)",30,Dickinson,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-03-27,,2248,Ingersoll Liquor and Bevera,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586306757000045, -93.664299089999986)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-09-04,,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586306757000045, -93.664299089999986)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-11-25,,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586306757000045, -93.664299089999986)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-07-17,,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586306757000045, -93.664299089999986)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-04-17,,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586306757000045, -93.664299089999986)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-06-26,,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586306757000045, -93.664299089999986)",77,Polk,1052010,IMPORTED GRAPE BRANDIES,446,Stephen Augustus Imports,901395,Calvados Morin 1973,1,750,139.0,208.5,3,625.5
2015-02-11,,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,"401 EAST MARKET ST
IOWA CITY 52240
(41.663580847000048, -91.530031378999979)",52,Johnson,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-08-27,,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,"401 EAST MARKET ST
IOWA CITY 52240
(41.663580847000048, -91.530031378999979)",52,Johnson,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,3,133.74
2014-08-14,,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,"401 EAST MARKET ST
IOWA CITY 52240
(41.663580847000048, -91.530031378999979)",52,Johnson,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-04-17,,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,"401 EAST MARKET ST
IOWA CITY 52240
(41.663580847000048, -91.530031378999979)",52,Johnson,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2015-01-21,,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,"215 WEST MILWAUKEE
STORM LAKE 50588
(42.647486598000057, -95.202631096999937)",11,Buena Vista,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-03-19,,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,"215 WEST MILWAUKEE
STORM LAKE 50588
(42.647486598000057, -95.202631096999937)",11,Buena Vista,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-12-03,,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,"215 WEST MILWAUKEE
STORM LAKE 50588
(42.647486598000057, -95.202631096999937)",11,Buena Vista,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-03-18,,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,"708 2ND AVE SE
CRESCO 52136
(43.371136862000071, -92.106470600999955)",45,Howard,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-03-18,,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,"708 2ND AVE SE
CRESCO 52136
(43.371136862000071, -92.106470600999955)",45,Howard,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-04-01,,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,"708 2ND AVE SE
CRESCO 52136
(43.371136862000071, -92.106470600999955)",45,Howard,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-02-11,,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,"708 2ND AVE SE
CRESCO 52136
(43.371136862000071, -92.106470600999955)",45,Howard,1012210,SINGLE MALT SCOTCH,391,Anchor Distilling (PREISS IMPORTS),904612,Glendronach 15yo,1,750,52.25,78.38,3,235.14
2014-06-30,,2367,Spencer's Grocery,101 SOUTH BURNETT,SHENANDOAH,51601,"101 SOUTH BURNETT
SHENANDOAH 51601
(40.765802103000055, -95.381872838999982)",73,Page,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2015-02-02,,2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,"721 CENTRAL AVENUE WEST
HAMPTON 50441
(42.741766296000037, -93.216930347999948)",35,Franklin,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2015-01-05,,2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,"721 CENTRAL AVENUE WEST
HAMPTON 50441
(42.741766296000037, -93.216930347999948)",35,Franklin,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-12-01,,2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,"721 CENTRAL AVENUE WEST
HAMPTON 50441
(42.741766296000037, -93.216930347999948)",35,Franklin,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-11-21,,2460,Liquor Barn Inc.,721 CENTRAL AVENUE WEST,HAMPTON,50441,"721 CENTRAL AVENUE WEST
HAMPTON 50441
(42.741766296000037, -93.216930347999948)",35,Franklin,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-06-16,,2460,Liquor Barn Inc.,721 CENTRAL AVENUE WEST,HAMPTON,50441,"721 CENTRAL AVENUE WEST
HAMPTON 50441
(42.741766296000037, -93.216930347999948)",35,Franklin,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-01-27,,2460,Liquor Barn Inc.,721 CENTRAL AVENUE WEST,HAMPTON,50441,"721 CENTRAL AVENUE WEST
HAMPTON 50441
(42.741766296000037, -93.216930347999948)",35,Franklin,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-10-08,,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,"2727 DODGE ST
DUBUQUE 52003
(42.49202676200008, -90.706940876999965)",31,Dubuque,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2015-02-16,,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,"402 EAST MAIN
ANAMOSA 52205
(42.108299529000078, -91.281794926999964)",53,Jones,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-07-31,,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,"402 EAST MAIN
ANAMOSA 52205
(42.108299529000078, -91.281794926999964)",53,Jones,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-05-01,,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,"402 EAST MAIN
ANAMOSA 52205
(42.108299529000078, -91.281794926999964)",53,Jones,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-01-16,,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,"402 EAST MAIN
ANAMOSA 52205
(42.108299529000078, -91.281794926999964)",53,Jones,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2015-02-04,,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-03-26,,2500,Hy-vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2015-01-14,,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-05-14,,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-08-27,,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,5,222.9
2014-04-30,,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,3,133.74
2014-10-22,,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-10-15,,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-04-16,,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.022836606000055, -93.669051489999958)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-07-23,,2501,Hy-Vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1031200,FLAVORED VODKA,380,Phillips Beverage Company,42141,UV Sugar Crush Mini,1,3000,29.3,43.95,2,87.9
2014-09-24,,2501,Hy-Vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1031200,FLAVORED VODKA,380,Phillips Beverage Company,42141,UV Sugar Crush Mini,1,3000,29.3,43.95,1,43.95
2015-02-25,,2501,Hy-vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,3,133.74
2015-01-28,,2501,Hy-vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,3,133.74
2014-03-26,,2501,Hy-vee  #2  / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-05-14,,2501,Hy-Vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-06-18,,2501,Hy-Vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-09-24,,2501,Hy-Vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,5,222.9
2014-04-09,,2501,Hy-Vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-02-05,,2501,Hy-vee  #2  / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-01-29,,2501,Hy-vee  #2  / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.032116513000062, -93.616286143999957)",85,Story,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2015-02-04,,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,"410 NORTH ANKENY BLVD
ANKENY 50021
(41.734592751000037, -93.600481536999951)",77,Polk,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,4,178.32
2015-01-14,,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,"410 NORTH ANKENY BLVD
ANKENY 50021
(41.734592751000037, -93.600481536999951)",77,Polk,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,8,356.64
2014-08-20,,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,"410 NORTH ANKENY BLVD
ANKENY 50021
(41.734592751000037, -93.600481536999951)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,6,267.48
2014-12-03,,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,"410 NORTH ANKENY BLVD
ANKENY 50021
(41.734592751000037, -93.600481536999951)",77,Polk,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,12,534.96
2014-08-13,,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,"410 NORTH ANKENY BLVD
ANKENY 50021
(41.734592751000037, -93.600481536999951)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,8,356.64
2014-11-12,,2502,Hy-Vee Wine and Spirits / Ankeny,410 NORTH ANKENY BLVD,ANKENY,50021,"410 NORTH ANKENY BLVD
ANKENY 50021
(41.734592751000037, -93.600481536999951)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,10,445.8
